"txt","val"
"However, he warned that the clashes in Kisangani between the two allies could have developed into the battle for Kisangani unless a cease-fire had been reached in time.",0
"""Yesterday the representatives of the rebel group came to my office, had a discussion with us, and we are now encouraging them to support this ceasefire,"" he told the BBC.",0
"Mediators are continuing efforts to arrange ceasefire talks between the government and the rebels.",0
"Though the FARC lauded Costa Rica's efforts, it would not join in the international ceasefire proposed by Costa Rica because ""the war in Colombia continues"", Leon said.",0
"Mr. Funes did say the government supported the church's efforts and transferred 30 gang leaders from a maximum-security prison to lower-security jails to facilitate the gangs' efforts to call a cease-fire.",0
"""What we did in holding foreign and local nationals hostage was absolutely in violation of the ceasefire agreement,"" Kamara said.",0
"Both have to be brought on board in the forthcoming Lusaka talks for a final resolution on cease-fire,"" Mbabazi said.",0
"The government signed a ceasefire and a peace accord earlier in the day with one of the country's rebel movements, the Movement of the Central African Liberators for Justice , as a prelude to the talks.",1
"Sporadic fighting has continued around the country despite the cease-fire agreement signed in November by the faction leaders during the first phase of the Eldoret talks.",1
"The Opposition parties have promised there will be no ceasefire to celebrate the milestone when Parliament resumes this morning.",0
"These included ""the withdrawal of heavy weapons from the line of contact, the complete implementation of the ceasefire and access to the OSCE's special observer mission"".",0
"The United States has pledged to support a west African force and sent three warships to the region, but the White House has said it will not put US boots on the ground until a ceasefire is in place and Taylor leaves power.",0
"AFP said on the 25th that it had been told by a spokesman for the Front for the Restoration of Unity and Democracy that the FRUD's forces would observe a seven-day unilateral cease-fire from noon on the 27th.",1
"He even announced a limited ceasefire to facilitate the process.",1
"In the ceasefire proposal, the government asks that ELN stop hostilities against soldiers and civilians and abandons its practice of bombing the nation's energy infrastructure.",0
"So -- QUESTION: So what happens on Friday 1: 00 a.m. Eastern, 8: 00 a.m. local, when the cease-fire is supposed to be done?",0
"The head of Colombia's last remaining rebel group has ordered fighters to stand down in advance of a bilateral ceasefire taking effect this weekend The ceasefire, approved on September 4, will initially last until January 9, after which it can be renewed by mutual consent"".",1
"The group agreed to maintain a cease-fire declared last December, and to stop trafficking drugs"".",1
"Speaking on Friday, Eagleton said ""any hostile action by either party would constitute a gross violation of the ceasefire, and would only serve to undermine the ongoing efforts toward achieving an early, durable and agreed resolution of the dispute.""",0
"Kabila has ruled out any ceasefire before talks with Mobutu, 66, on his stepping down.",0
"Two Hutu rebel groups have refused to sign the ceasefire.",0
"But some world human rights groups have criticized the Colombian government's strategy for demobilizing paramilitary forces, citing cases that the paramilitaries failed to meet their commitment for a ceasefire.",0
"The draft document outlines a timetable for a truce, the details of its implementation and a commitment to political negotiations between Kabila's government and opposition groups.",0
"But the talks collapsed a day after Torit fell and the government has said it will only go back to the negotiating table with the rebels if a ceasefire is in place.",0
"We defined what we mean by cease-fire.",0
"Both sides accuse each other of repeatedly violating ceasefires and the SPLA statement said the government continued to carry out ""widespread and indiscriminate aerial bombardments of civilian targets"".",0
"Uganda, he said, appeals to the international community to assist in operationalising the Joint Military Commission and Political Committee, both organs of the Lusaka cease-fire agreement.",0
"But both sides accuse each other of repeatedly violating their own ceasefires.",0
"The spokesman of AMISOM troops Brigye Bohoku told Shabelle that armed groups design to stage attacks in areas in Mogadishu to show that the ceasefire agreement is not working.",0
"But no cease-fire has been agreed.",0
"In the current meeting, scheduled to last up to three weeks, the UN mediator, Alvaro de Soto, has been joined for the first time by Marrack Goulding, who as the UN assistant secretary for special political affairs is responsible for supervising any ceasefire agreement.",0
"Peace officially came to El Salvador on Saturday as a formal ceasefire in the 12-year civil war came into effect""",1
"I mean, you can imagine if this was happening in Western Europe, it would be, you know, a galactic event that people would be talking - paying a lot of attention to, but it's in Central-East Africa, where it's hard to get to, and I think where people feel it's somewhat removed from our life and our... GEORGE STEPHANOPOULOS (ABC NEWS) (OC) Earlier this week, you sent out a tweet urging the US to insist on a ceasefire.",0
"Liberia's warring parties have agreed to a ceasefire after talks with U.S., U.N. and Ghanaian mediators following two weeks of violence in the capital Monrovia, a U.S. Embassy statement said on Friday.",1
"7 April 1999 EFE News Service WEFE English Copyright (c) 1999 EFE News Services (U.S.) Inc.; Source: World Reporter (TM) Oaxaca, Mexico, Apr 6 (EFE).- The governor of the state of Oaxaca, Jose Murat Casab, thanked the Revolutionary Popular Army (EPR) on Tuesday for the suspension of its attacks in southern Mexico and interprets this ceasefire as a sign of a desire for dialogue on the part of the group.",1
"In the union-level ceasefire agreement between the RCSS and the government negotiated and signed in Kengtung on May 19, 2012, part of the clause said: 'The RCSS/SSA is free to hold political consultations with individuals, groups and communities throughout the country.'""",1
"Medical and local officials said up to 25 civilians, tribal fighters and government soldiers died overnight in Sana'a and the city of Taiz despite a ceasefire announcement by Saleh late Tuesday.",1
"The Organization of American States is monitoring the truce, lauded by its secretary general for stemming violence.",0
"The statement also called for an end to violence by Arab militias, which has killed tens of thousands of Darfur residents and displaced hundreds of thousands more, and a respect for the cease-fire agreement between the government and armed opposition groups.",0
"Gurirab said in an interview the five external forces fighting in the former Zaire had agreed on Monday to a ceasefire draft that would not require their immediate withdrawal.",1
"He said the POLISARIO Front had respected the ceasefire, accepted the Settlement Plan, the Houston Agreements and the Baker Plan.",0
"Air raid sirens, rocket attacks, attempted ceasefire, as well, the situation in the Middle East seems to be deteriorating by the hour.",0
"Senegal and separatist rebels in the southern Casamance province signed a ceasefire agreement on Thursday",1
"BCC Monitoring Newsfile This is the first time the LRA rebels have declared a ceasefire and proposed negotiations without setting preconditions.",1
"According to the experts, ""the rebels expanded their control over Rutshuru territory with extensive foreign support in July 2012 and have recently taken advantage of an informal ceasefire to enhance alliances and command proxy operations elsewhere.""",0
"A guerrilla war with the Polisario Front contesting Rabat's sovereignty ended in a 1991 UN-brokered cease-fire.",1
"MINURSO's mandate included the monitoring of the ceasefire between-Morocco and the Polisario Front-and organising a referendum on the territory.",0
"The U.N. Security Council, in a brief statement, only called on all parties to respect an often-broken cease-fire, refrain from military action and ensure the safety of U.N. personnel, which include over 100 in Kinshasa and an equal number in 13 other places around the vast country.",0
"A tense ceasefire is now in force.",1
"MODEL military spokesman Gal Boi Bleaju Boi told AFP that they were respecting the ceasefire, but ""if anybody attacks us from Buchanan, we can take over Buchanan to protect the civilians"", many of whom fled the fighting in Monrovia.",0
"An army spokesman said the biggest clashes in the run-up to the ceasefire ocurred at Zouan Hounien, a town 30km south of Danane on Friday night, when a rebel force of about 300 backed by armoured cars attacked government positions there.",0
"That we must have a ceasefire that affects everyone.'",0
"In the recommendations released after the two-day seminar, participants called on all Somalis to agree to immediate cease-fire throughout the country and to make peace.",0
"UN peacekeeping missions were few and, generally, served only as interpositional forces to police ceasefires agreed to by the warring parties in order to give the combatants time and space to find and implement a political solution.",0
"That was the first time both sides wrote an agreement and people began walking back and forth across the conflict zone, and where there was a ceasefire -- cessation of hostilities -- and that humanitarian aid moved across conflict lines without any impediments at all.",0
"The declaration of a ceasefire and a decommission pledge earned the factions a second 'relocation' zone, this time in the south of the country, where fighters would be granted immunity from prosecution while talks were in motion.",1
"Villepin said: ""The priority is a ceasefire that can hold.",0
"Mr Cossan Kabura, head of the [rebel] National Liberation Front (FNL), was told harshly: ""You have one calendar month to initiate negotiations for a cease-fire with the Burundi government or else you will face the sanctions of the sub-region and from the international community.""",0
"Three decades of civil war ended in 2002 with the signing of a ceasefire agreement with the then rebel UNITA movement.",1
"When the ICGL chair, Uganda's President Museveni, had negotiated a ceasefire that was holding, the UN rose to call for sanctions against M23 leaders, ignoring the ongoing ICGLR initiative.",0
"They fought a high tempo battle for nine hours defending the South African military base, until the bandits raised a white flag and asked for a ceasefire.",1
"While the paramilitaries press forward with the demobilizations, two leftist rebel groups that have been battling the government for 40 years have shunned appeals by the government to declare a cease-fire and start talks.",0
"The Movement for the Emancipation of the Niger Delta (MEND) lifted a three-month ceasefire this month and threatened to resume its campaign of violence, which has battered Africa's biggest energy industry for the past three years.",0
"Lekota on Thursday said the four countries would only embark on a peacekeeping operation once a ceasefire agreement between the warring parties had been signed.",0
"Leonard Nyangoma, head of the National Council for the Defence of Democracy (CNDD) and its armed wing, announced the 11-day cease-fire in a Christmas and New Year's message.",1
"After the truce was reached, an order went out to stop the killings, and by mid-March 2012, the government proclaimed that the homicide rate dropped from 14 a day to six.",0
"The Central African Republic government and army mutineers signed an accord on Sunday extending for one month a ceasefire in the capital Bangui, a presidential spokesman said.",1
"Susan Rice, President Barack Obama's national security adviser, said Washington was considering sanctions ""if an agreement is not signed by the government within 15 days and a cease-fire is not implemented promptly by all parties.""",0
"It cited the head of the UNITA delegation to the talks, Jorge Valentim, as having said on the 16th that ""procedures had not yet been considered for a cease-fire"" and that Luanda had not given any answers concerning the issues of national reconciliation and power decentralisation.",0
"Negotiators From the National Liberation Army rebel group say they have agreed a temporary ceasefire with the Colombian government"".",1
"Mozambican rebels declared a unilateral Christmas truce on Tuesday in their war with the Maputo government, the Portuguese news agency Lusa agency said.",1
"But the rebels refuse to fix a ceasefire date if there is no previous agreement on strengthening human rights and reducing the role of the military in Guatemalan society, it said.",0
"If there is no ceasefire, Mahachi hinted that other African countries might send troops to support Kabila's government.",0
"The government had suspended arrest warrants against top AUC members for previous crimes not linked to the cease-fire.",0
"""African Union peacekeeping forces monitoring an uneasy ceasefire in Darfur are overstretched,"" the MPs said, adding the AU peacekeepers should be given a full UN mandate and massive additional resources.",0
"SPLM/A spokesman Samson Kwaje said it seemed that both sides had agreed that as long as there was no cease-fire, fighting would continue, but this would not affect the talks.",0
"So far, three of four armed groups are signatories to the ceasefire agreement.",1
"Army chiefs of ECOMOG contributing countries met before the summit to ask for more funds, a new ceasefire deadline and better logistical support.",0
"-- Associated Press --- ISRAEL Gaza Missile Launch Rattles Cross-Border Cease-Fire Gaza militants on Tuesday fired a rocket into Israel for the first time in three months, rattling a cross-border truce that had held since Israel's military offensive against the Hamas-run territory, a police spokesman said.",0
"The government's top priority is reaching a cease-fire agreement, while the ELN has demanded an amnesty for imprisoned rebels, non-combat activists and union leaders.",0
"Some 200 people were killed in the first days of the uprising but a cease-fire was quickly agreed and fighting was replaced by a long-running military and political standoff.",0
"A ceasefire was in place in preparation for the talks, according to Amado, but he was not sure whether it would hold.",1
"The government signed peace accords with the MNJ in 1995 and reached a cease-fire agreement in 2009.",1
"Buyoya had previously insisted the transition could begin only after a ceasefire -- discreet negotiations for which have been going on for several months -- was agreed with the rebel groups.",0
"MEND, which called off its unilateral three months' ceasefire on Saturday, pointed out that it had never had faith in the entire amnesty exercise, which was offered by President Yar'Adua to Niger Delta militants, but had given dialogue a try to prove to the world the insincerity of the Federal Government, oil companies and other collaborators in the ""theft of the resources of the Niger Delta areas.""",0
"In a statement published in Algeria on Tuesday, Mahfoud Ali Beiba, prime minister of the Saharan Arab Democratic Republic proclaimed by Polisario, said the guerrillas would observe a unilateral ceasefire during Manz's visit to the area and until the end of March"".",1
"He said Kabanda informed him that the rebel council was going to meet immediately to discuss the proposed cease-fire and its terms.",0
"Colombia's FARC rebels will continue to observe a ceasefire despite voters narrowly rejecting a peace deal between the guerrillas and the government, their leader said Monday"".",1
"The workers were killed after months of relative calm at the start of the deployment of UN observers and military personnel to guard them in monitoring a ceasefire agreed to by all parties in 1999.",1
"Earlier this month, the parties signed an extension to a ceasefire in Juba, the capital of the semi-autonomous region of South Sudan, where negotiators for Uganda's government and LRA rebels have been holding peace talks since 2006.",1
"""How can you have a legitimate peace process or cease-fire when you're dealing with an indicted war criminal?""",0
"The announcement came a day after church negotiators said the rebels had accepted a disarmament plan and called for a ceasefire with the army.",1
"The hardline Hutu group declared its ceasefire on Monday when the central African country held a landmark national referendum on the adoption of a new constitution.",1
"But Kaire Mbuende, secretary-general of the Southern African Development Community, one of the organizations that convened the talks, said the meeting of defense and foreign ministers from 12 African nations adopted the draft cease-fire ""pending further consultations with all concerned.""",0
"Burundian President Pierre Nkurunziza and Hutu Forces for National Liberation leader Agathon Rwasa on Thursday signed a full ceasefire, seen as a key step to stabilising the central African nation after a long civil war.",1
"ECOMOG field commander Maj-Gen Tunji Olurin was cited by Radio Nigeria on 10th November as having pledged that his forces would enforce the cease-fire agreed in Abuja""",1
"But a cease-fire has yet to be agreed upon, and the army has repeatedly said it wants the rebel attacks to end before signing anything.",0
"The RCD rebels have already vowed to continue fighting despite the uni= lateral ceasefire offer from their main allies.",0
"Right-wing Colombian paramilitary group AUC formally announced the agreement of a ceasefire with the government on Friday, effective From 1 December"".",1
"If there is a cease-fire agreement, it must be respected by both sides.",0
"And today's unaccustomed air of hope notwithstanding, negotiators on both sides agreed in interviews this week that the only real measure of goodwill would be compliance with the provisions of the cease-fire.",0
"The truce calls for an international force, preferably from the same Portuguese-speaking states, to be sent to act as a buffer between the two sides during the negotiations.",0
"Both the government and the rebels, who control roughly the eastern half of the vast country, have traded charges of truce violations since soon after they signed the accord.",0
"Kofi Annan, U.N. Secretary-General at the time, brokered a coalition government that brought a fragile ceasefire""",1
"The government declared a cease-fire 10 days later and there have been few open clashes with the government since then, though there have been repeated conflicts with neighboring communities.",1
"However, the leadership of the transitional government and a cease-fire have remained major sticking points, and two Hutu rebel groups have boycotted the peace talks.",0
"That's despite a ceasefire between pro- Russian separatists and Ukrainian forces.",0
"The United Nations wants a cease-fire to permit shipments of food and medicine into the country.",0
"The communique added, however, that ""the government is ready to continue the peace process with the rest of the participants at the table, as long as they comply with the cease-fire.""",0
"Mandela called for an immediate cease-fire and a withdrawal of all foreign troops.",0
"Political scientist Jakkie Potgieter of Johannesburg's Institute of Security Studies told Reuters that while a ceasefire between the government and the rebels was possible, any peacekeeping operation faced major problems.",0
"Guatemalan government officials and guerrilla leaders have agreed details of a ceasefire agreement.",1
"""Existing ceasefire arrangements do not envisage such operations in a war zone, and consequently the Saharawi army must carefully consider its position and response if these inflammatory activities proceed,"" SADR said on Wednesday.",0
"But certainly there is a very real sense of urgency here that with all of the instability in this region, there needs to be a cease-fire implemented as soon as possible before this situation escalates out of control.",0
"'Glimmer of hope' for Ukraine after new ceasefire deal Germany, France, Russia and Ukraine agreed to a deal offering a ""glimmer of hope"" for an end to conflict in eastern Ukraine, but the United States and NATO said further intense fighting on Thursday ran counter to the spirit of the accord.",1
"The UWSA signed a ceasefire deal with the military regime in 1989"".",1
"Greenstock said the 15-member body believed any cease-fire infractions were not the business of the rebels but had to be handled by various regional committees or the United Nations.",0
"Effective Tuesday at 12 hours GMT we will declare a unilateral ceasefire,"" Taylor's defence spokesman Tom Woewiyu said in a statement read on rebel radio"".",1
"""This does not mean by itself a cease-fire or the wish to get a power-sharing agreement with al-Shabab.",0
"""We talk to the belligerents and prevail on them to observe the ceasefire,"" says Mejabi.",0
"On Thursday, Ivorian government warplanes began air raids against rebel-held territory in the north, shattering a truce and pushing the divided nation to the brink of renewed civil war.",0
"""We remain fully engaged in the ceasefire pact,"" said Millington, who had attended talks in the Kenyan town of Machakos, where he said both sides had shown they were committed to reaching a comprehensive agreement.",0
"Rebels of the Northern Front 3-80, the last remnant of the U.S.-backed Contra rebels who fought the former Sandinista government in the 1980s, declared a cease-fire this week and told Roman Catholic Church officials they were prepared to lay down their arms following heavy casualties in recent battles with the Nicaraguan army.",1
"The Popular Liberation Army has decided to accept President Barco's peace proposals and maintain its ceasefire, Inravision television reported on 5th May"".",1
"The ambition of the JEM to assert itself on the national stage also accounts for its negative reaction to the ceasefire deal signed between the smaller LJM and Khartoum.",1
"That would cite a lack of progress on the U.N. talks on a truce.",0
"But a cease-fire could produce a lull in the violence, presuming that the drug gangs would return to a prior observance of noncombatant immunity, and allow Mexico a national respite to recover from its losses, consolidate its forces and concentrate its efforts on reconstituting the security and government institutions that have failed so demonstrably.",0
"Feb 13 (Interfax) - The ceasefire deal that forms part of a conflict settlement agreement for eastern Ukraine reached at a Normandy format summit in Minsk on Wednesday and Thursday means the meeting has accomplished its ""minimum task,"" but it is ""an absolutely fundamental"" achievement if it works, a senior Russian lawmaker said.",0
"Both sides have paid lip service towards the idea of a ceasefire signed last month under the auspices of a west African-led peace process, but there is little sign that the four-year-old conflict is abating.",1
"Juba remains very reluctant to the implementation of the peace agreement, as a faction opposed to the peace agreement says the deal enables Machar to keep his army in the capital, and at the same time puts a foreigner with a large power at the head of the ceasefire monitoring mechanism.",0
"For this truce to work, we have to stay apart,"" he said.",0
"Musyoka also called on the international community to apply pressure on faction leaders and not to bankroll groups still involved in fighting and breaching October's ceasefire.",0
"The Ugandan government and rebel Lord's Resistance Army renewed a landmark truce, boosting hopes for stalled peace talks aimed at ending northern Uganda's brutal, two-decade war, officials said Sunday.",1
"[Reporter, recording] On the issue of priority between the putting in place of the commission, the cease-fire or the leadership of the transition, President Buyoya pointed out that the commission only provided a framework of consultation.",0
"UNHCR is again appealing for a ceasefire and the establishment of humanitarian corridors which would allow the civilian population to escape the fighting and enable aid workers to resume deliveries of humanitarian assistance.",0
"Taylor, heeding a call by Ghana, ordered an immediate ceasefire on Friday.",1
"Meanwhile the National Liberation Army (ELN), Colombia's second-largest guerrilla force, is seeking a cease-fire with the FARC and calling on a pooling of their forces.",0
"Asked whether the ceasefire will be monitored, Sumbeiywo said: ""There is no monitoring, but we will assist them to establish channels of communication.""",0
"U.S. President Bill Clinton also welcomed the ceasefire agreement and urged rebel leaders to support it.",0
"Due to the different stages of the process -ceasefire, disarmament, demobilization and reintegration- are being done simultaneously, it requires more resources for its verification, the Ambassador said.",0
"On Thursday, the rebels said they had received assurances from U.N. officials and foreign diplomats that the Kinshasa government would be condemned for breaking the ceasefire.",0
"Forty-one violations [of the ceasefire] over the past 24 hours and two servicemen wounded,"" Eduard Basurin told reporters.",0
"""If Vicente ordered Carlos' death during the negotiations, in breach of the cease-fire, then that alone is proof of his bad faith in the demobilization process,"" said Maria McFarland, Colombia researcher at New York-based Human Rights Watch.",0
"A press statement issued by OAU here on Saturday morning said: ""The ministers worked out draft modalities for a cease-fire agreement in the DRC.",0
"""There is absolutely no ceasefire, no change in our military strategy, said chief rebel negotiator Thomas Woewiyu.",0
"In addition, a ceasefire agreement concluded between the Government and the opposition Palipehutu/FNL in June reflected a new and promising dynamic.",1
"He said that the two sides must still work out when the cease-fire will go into effect; differences also remain between the government and the rebel group on how to carry it out in practice.",0
"According to Zuma, Burundi rebels are still reluctant to agree to a cease-fire despite the ongoing negotiations.",0
"The accord does not provide for cease-fire and the rebels groups have refused to attend peace talks or recognize the agreement.",0
"Against this canvass, the presence of outside non-partisan elements was conceived as a practical    measure to aid in the maintenance and consolidation of the truce.",0
"The Burundian peace accord was signed by 19 negotiating parties almost one year ago, however, implementation has so far been blocked by the lack of a ceasefire between the government and two main Hutu rebel groups, CNDD-FDD and FNL, and the lack of consensus on the transition leadership.",0
"However, following an appeal by newly appointed Prime Minister Raila Odinga for the group to halt its violent action and open talks with the government, a spokesman for the group has confirmed that it has called a 'ceasefire'.",1
"All sides have alleged violations of the ceasefire.",0
"The CPJP had signed a ceasefire with the government last year, but until Saturday had not inked the global peace agreement that Bozize's government and the country's several other major rebel groups reached in 2008"".",1
"Both the MPCI and the government promised France last week that they would henceforth strictly observe an often-violated ceasefire.",0
"Since then, the Government of Niger, with U.S. encouragement that included a conflict negotiation workshop facilitated by the U.S. Institute of Peace, pursued several rounds of peace talks with the MNJ and other rebel groups, resulting in a de facto ceasefire, weapons handovers, and an executive order providing amnesty to rebels and those who supported them, including members of the Nigerien Armed Forces.",1
"""A truce is much harder to keep than it is to formulate or announce,"" he said.",0
"Nowadays, Dundalk is a prosperous and peaceful place, reflecting the new era in cross-Border relations since the paramilitary ceasefires and the establishment of a powersharing Executive in Northern Ireland.",0
"Meanwhile, government negotiator Amin Hassan Omer claimed JEM had honoured neither the ceasefire nor an agreement to release government prisoners.",0
"""The Secretary-General believes there can be no military solution to the conflict,"" the statement said, ""He will continue to actively support current regional efforts to broker a ceasefire, the withdrawal of foreign troops from the territory of the DRC, and a broadening of the democratic space in the country,"" he added.",0
"The ELN  has pledged to release its hostages once a formal  ceasefire has been agreed with the government.",0
"Guys, thanks very much for your good reporting Raging battles in Libya today and a surprising round of talks, at least about a cease-fire.",0
"While a ceasefire barely holds in the region, the M23 and President Joseph Kabila's government this month agreed an agenda for peace talks.",0
"Central African Republic's government and northeastern rebels signed a peace accord on Friday that established a ceasefire and an amnesty for the insurgents, officials said.",1
"On LURD's position concerning the deployment of foreign forces to monitor the cease-fire, Ambassador Awua said the mandate of such forces would be decided at the Talks.",0
"Delegates had expected a ceasefire deal after Vieira and Mane arrived together to meet regional presidents.",0
"According to AFP correspondents in Ntamugenga, fighting raged for about eight hours on Sunday and appeared to intensify after the ceasefire order.",1
"Bush said he wanted to help an African force, of the Economic Community of West African States, to ensure a cease-fire in the West African country.",0
"But Galan has made little progress since his release, with the government insisting that the ELN declare a cease-fire and stop kidnapping as preconditions for any talks -- both of which the ELN high command has rejected.",0
"Defence Minister Humberto Ortega, rebel leaders and Cardinal Miguel Obando y Bravo, the primate of the Roman Catholic Church, signed the ceasefire agreement, which will go into effect at noon on Thursday"".",1
"A United Nations team trying to negotiate a ceasefire has condemned both sides.",0
"Already, his reluctance to compromise, even after the shifty Friday ceasefire, is blamed on Uganda, that has reinforced the assumption Kiir's survival depends on this war.",0
"""The armed forces will observe the comprehensive ceasefire as of today if the rebels respond to General al-Bashir's ceasefire initiative and leave their stubbornness of a partial ceasefire,"" SUNA quoted army spokesman Lieutenant General Mohamed Osman Yassin as saying.",0
"The Hutu rebels have so far refused to sign up to a ceasefire to end the civil war that has claimed an estimated 200,000 lives, mostly of them civilian, since it began in 1993.",0
"By declaring a ceasefire, alongside rival paramilitary chiefs Pablo Meja and Guillermo Torres, while promising to decommission during 2004, Arroyave provided a boost to Colombia's flagging peace process.",1
"Colombia's largest leftwing rebel group, the Revolutionary Armed Forces of Colombia yesterday declared a unilateral ceasefire for Christmas.",1
"The Summit also called for ""an immediate cease-fire, a troop stand-still and the initiation of a peaceful process of political dialogue aimed at finding a solution to all relevant problems..."" according to the Summit communique made available to Mopheme by the Foreign Affairs Ministry.",0
"Now they are under a lot of pressure, it would be very easy to say 'don't talk to us about the conflict, we have a ceasefire',"".",0
"A five-day cease-fire between Israel and Hamas was extended another 24 hours this evening.",1
"For the last 10 months of the ceasefire nearly all civilians in the south and border regions have been able to live in peace, however fragile.",0
"They called upon the international community to do so to help in the implementation of the Lusaka cease-fire agreement.",0
"The centerpiece of the plan, as outlined by Santos and others involved in it, is a guerrilla offer to call an immediate truce in exchange for several major concessions from the government.",0
"""I hope that that ceasefire will hold,"" Obasanjo told reporters after talks with British Prime Minister Tony Blair.",0
"The EPR has declared a new truce in Mexico State for the forthcoming elections on 10th November.",1
"The mediators, on a regional diplomatic shuttle to muster support for the ceasefire, had hoped to get to Monrovia on Tuesday, but their plane was forced to land in nearby Sierra Leone because of bad weather.",0
"(AP) ASIA SRI LANKA: CEASE-FIRE'S PROSPECTS -- The government's information minister, Aruna Yapa, said that a one-month cease-fire declared by the Tamil rebels, to begin tomorrow, ''could be a productive step.''",1
"A U.S.-sponsored resolution being debated at the U.N. calls for observers to monitor implementation of the cease-fire, verify the separation and redeployment of opposing troops and lay the groundwork for possible deployment of a much larger U.N. peacekeeping force.",0
"A key stumbling block is timing troop withdrawals once a cease-fire is declared.",0
"Guatemala's leftist rebels on Wednesday announced a temporary ceasefire because of growing confidence in the progress of peace talks with the Guatemalan government"".",1
"But increasingly, the option that's being discussed and reported is perhaps and extension of this ceasefire -- Kristie.",0
"Despite the deadlock, a Norwegian-brokered cease-fire between the rebels and government in February 2002 has largely held firm.",1
"A representative of the Liberian rebel grouping Liberians United for Reconciliation and Democracy called Friday for a ceasefire in the intense fighting in Monrovia between rebels and government forces.",1
"[END ACT] A cease-fire agreement signed last week called on Mr. Taylor to step down to pave the way for a transitional government without him.",1
"On its part, the Khartoum government has also agreed to a cease-fire albeit for a shorter period but for the same humanitarian reasons.",1
"To this end, I will like to congratulate the RUF for declaring a two - month cease-fire so as to permit the holding of these negotiations in the best conditions possible.",1
"The rebels have said they want an immediate agreement on human rights, which would include investigation of war crimes largely carried out by the army, before fixing the date of a ceasefire.",0
"Uribe ordered troops to rescue hostages and demanded an act of ""good faith"" from the rebels, such as a possible cease-fire.",0
"A statement by the military affairs committee of the MNDAA said the unilateral cease-fire had taken effect at noon on 10 June, but that the group would defend itself if attacked"".",1
"In it, the Secretary-General states his belief that MINURSO continues to play a key stabilizing and ceasefire-monitoring role and recommends the extension of its mandate for a further six months until 31 October 2006.",0
"On Tuesday, the FDD, who are negotiating with the Bujumbura government in Dar es Salaam, Tanzania, said they would observe a unilateral truce from November 3"".",1
"Similarly, regional organizations in Africa - including the Economic Community of West African States, its cease-fire monitoring group, and the Southern African Development Community - have authorized the removal of coup leaders on the continent to prevent the suffering that these groups have concluded regularly follows the overthrow of democratically elected regimes.",0
"Australia CANBERRA -- Australia said on Tuesday it was deeply disturbed by reports that a militiaman had been shot and killed in the Solomon Islands, breaking the tenuous cease-fire agreement signed last week by warring ethnic militias.",0
